signal,group,source_kind,sample_count,valid_fraction,p05,p50,p95,range_p95_p05,step95_standardized
mp_body.left_pinky.z,arms_measure_only,mp_body,1322,1.0,-1.332577709108591,27.171379327774048,78.65658462047577,79.98916232958436,0.0515206290682263
mp_body.left_shoulder.x,shoulders,mp_body,1322,1.0,8.930133244596712,12.743207845686097,13.888555646216991,4.958422401620279,0.039160686208701945
mp_body.left_shoulder.y,shoulders,mp_body,1322,1.0,-1.8416138050226725,11.71827263753243,18.167722061107835,20.009335866130506,0.03868352470483899
mp_body.left_shoulder.z,shoulders,mp_body,1322,1.0,47.31256619095802,48.523588478565216,51.599467396736145,4.286901205778122,0.05701502667445793
mp_body.left_shoulder_lift_from_hips,shoulders,mp_body,1322,1.0,47.28710847673938,48.49632609693799,51.572630908340216,4.285522431600839,0.05703807496829208
mp_body.left_thumb.x,arms_measure_only,mp_body,1322,1.0,15.441164483052907,25.27164214020143,50.91001844281774,35.46885395976483,0.03485401552707276
mp_body.left_thumb.y,arms_measure_only,mp_body,1322,1.0,15.002025179609575,27.393462728891798,44.35103792215147,29.349012742541895,0.046286958538666545
mp_body.left_thumb.z,arms_measure_only,mp_body,1322,1.0,3.8713502511382103,29.06748801469803,76.66375994682313,72.79240969568492,0.05153338371744068
mp_body.left_upper_arm_length,arms_measure_only,mp_body,1322,1.0,21.24887264490139,23.30869834247138,24.604190218285982,3.3553175733845926,0.032974539744598116
mp_body.left_wrist.x,arms_measure_only,mp_body,1322,1.0,16.31240254906258,26.33162687931344,50.93758734248116,34.62518479341858,0.03496371118574293
mp_body.left_wrist.y,arms_measure_only,mp_body,1322,1.0,13.10333779912906,25.382399819605297,43.54170457250952,30.438366773380466,0.04675181539392817
mp_body.left_wrist.z,arms_measure_only,mp_body,1322,1.0,4.868685137480497,28.6147341132164,75.03975123167038,70.17106609418988,0.05210404797513846
mp_body.mouth_left.x,head_mp_diagnostic,mp_body,1322,1.0,-4.9698638238108,-1.4102371726922684,0.46952944036397715,5.439393264174777,0.035047419243817546
mp_body.mouth_left.y,head_mp_diagnostic,mp_body,1322,1.0,8.64029706412833,26.37207264559306,33.95890002498911,25.318602960860783,0.03513625754994612
mp_body.mouth_left.z,head_mp_diagnostic,mp_body,1322,1.0,57.86932408809662,59.59655046463013,62.97582417726517,5.106500089168549,0.05472094982710686
mp_body.mouth_right.x,head_mp_diagnostic,mp_body,1322,1.0,-8.466874185888729,-5.385536663917341,-3.4717299547890477,4.995144231099681,0.03539448276731205
mp_body.mouth_right.y,head_mp_diagnostic,mp_body,1322,1.0,9.112856451405756,26.482820256854474,33.898022704606795,24.78516625320104,0.035101641410962336
mp_body.mouth_right.z,head_mp_diagnostic,mp_body,1322,1.0,57.406447529792786,59.171897172927856,62.424777150154114,5.018329620361328,0.054910349480245535
mp_body.nose.x,head_mp_diagnostic,mp_body,1322,1.0,-5.90349983600173,-3.009059900156026,-0.7822213107228699,5.121278525278861,0.040391788866872516
mp_body.nose.y,head_mp_diagnostic,mp_body,1322,1.0,11.317148723005463,29.585405057826232,37.01980363463624,25.702654911630777,0.03572431961380185
mp_body.nose.z,head_mp_diagnostic,mp_body,1322,1.0,60.17781972885132,62.40065097808838,66.35091781616211,6.173098087310791,0.04737398061552188
mp_body.right_ankle.x,lower_body_measure_only,mp_body,1322,1.0,-6.551374398106725,-3.505091920999705,-1.8866874482143021,4.664686949892423,0.03761886064165087
mp_body.right_ankle.y,lower_body_measure_only,mp_body,1322,1.0,-30.44889178745278,-19.347167436811922,-11.419104899491723,19.02978688796106,0.03150174139782835
mp_body.right_ankle.z,lower_body_measure_only,mp_body,1322,1.0,-74.76544201374054,-72.64986336231232,-68.22847753763199,6.536964476108551,0.03087386017578861
mp_body.right_ankle_lift_from_hips,lower_body_measure_only,mp_body,1322,1.0,-74.79235034203157,-72.6753689115867,-68.26209968770854,6.5302506543230265,0.0309025570617128
mp_body.right_ear.x,head_mp_diagnostic,mp_body,1322,1.0,-14.116668160547846,-10.838302174027959,-8.800591145384999,5.316077015162847,0.03327553196847306
mp_body.right_ear.y,head_mp_diagnostic,mp_body,1322,1.0,2.9503954682850724,19.340088685110693,26.837938933751165,23.88754346546609,0.035437738357028514
mp_body.right_ear.z,head_mp_diagnostic,mp_body,1322,1.0,61.109217405319214,64.09814655780792,66.08390092849731,4.974683523178101,0.04451641921876642
mp_body.right_elbow.x,arms_measure_only,mp_body,1322,1.0,-40.409735649219655,-22.37896107672165,-19.047479610015003,21.362256039204652,0.031737818860012895
mp_body.right_elbow.y,arms_measure_only,mp_body,1322,1.0,11.569265957314403,17.590056674142666,34.65019841189917,23.080932454584765,0.04427706534109388
mp_body.right_elbow.z,arms_measure_only,mp_body,1322,1.0,20.3382670879364,26.278431713581085,52.248983681201935,31.910716593265533,0.04357214624865691
mp_body.right_eye.x,head_mp_diagnostic,mp_body,1322,1.0,-7.921997929136803,-5.053413610775792,-2.5952748779532118,5.326723051183592,0.03869970129762346
mp_body.right_eye.y,head_mp_diagnostic,mp_body,1322,1.0,11.065081288421753,29.343204414482663,36.865979987607105,25.800898699185353,0.035228818473042205
mp_body.right_eye.z,head_mp_diagnostic,mp_body,1322,1.0,63.857524394989014,65.8717691898346,69.6522644162178,5.79474002122879,0.05099074409940263
mp_body.right_eye_inner.x,head_mp_diagnostic,mp_body,1322,1.0,-8.14210882511363,-5.266264760283917,-2.816130041287841,5.325978783825788,0.0387053954791344
mp_body.right_eye_inner.y,head_mp_diagnostic,mp_body,1322,1.0,11.052481022716458,29.336645701852095,36.86009673270006,25.8076157099836,0.03525206239210511
mp_body.right_eye_inner.z,head_mp_diagnostic,mp_body,1322,1.0,63.74778777360916,65.76126217842102,69.54131156206131,5.793523788452148,0.05091708573733117
mp_body.right_eye_outer.x,head_mp_diagnostic,mp_body,1322,1.0,-7.978160981718686,-5.119042701919041,-2.6791769206109386,5.298984061107747,0.038949080218183996
mp_body.right_eye_outer.y,head_mp_diagnostic,mp_body,1322,1.0,10.70029738210922,28.96849272913167,36.489059583764494,25.788762201655274,0.03526913524394579
mp_body.right_eye_outer.z,head_mp_diagnostic,mp_body,1322,1.0,63.75339448451996,65.76909720897675,69.54004615545273,5.78665167093277,0.05099815463747576
mp_body.right_foot_index.x,arms_measure_only,mp_body,1322,1.0,-9.234396581120587,-5.841253250457683,-4.06329899236345,5.171097588757137,0.04400454068929083
mp_body.right_foot_index.y,arms_measure_only,mp_body,1322,1.0,-20.381489384329395,-8.779470109848123,-0.26424214930069906,20.117247235028696,0.03245850193496444
mp_body.right_foot_index.z,arms_measure_only,mp_body,1322,1.0,-85.63982963562012,-84.05821919441223,-79.4453689455986,6.194460690021515,0.026559332400648672
mp_body.right_forearm_length,arms_measure_only,mp_body,1322,1.0,20.346168442263313,22.13293872854883,23.660279391932683,3.31411094966937,0.052432871991662244
mp_body.right_heel.x,lower_body_measure_only,mp_body,1322,1.0,-6.236658944256273,-3.1137201916301014,-1.3144292831395734,4.9222296611167,0.03963175035926397
mp_body.right_heel.y,lower_body_measure_only,mp_body,1322,1.0,-31.94223950468373,-20.313313556449955,-11.902594819376045,20.039644685307685,0.03201919040682888
mp_body.right_heel.z,lower_body_measure_only,mp_body,1322,1.0,-79.1096979379654,-76.92850232124329,-72.24403083324432,6.865667104721069,0.03111728620246179
mp_body.right_hip.x,pelvis,mp_body,1322,1.0,-10.6165660047539,-10.184989033639972,-9.847824518514935,0.7687414862389641,0.02566255331643598
mp_body.right_hip.y,pelvis,mp_body,1322,1.0,-0.426593495179987,-0.2230218031864238,0.06301259983156929,0.4896060950115563,0.046944426476827616
mp_body.right_hip.z,pelvis,mp_body,1322,1.0,-1.1401547538116574,-0.6551055004820228,0.19550946541130543,1.3356642192229629,0.011199947291740647
