group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,flags
arms_measure_only,arm_conflict_measure_only,quest.right.wrist.x,mp_body.right_wrist.x,1322,1.0,43.04944133758546,43.25645333896326,1.0048087035498197,0.913777983925266,0.1463254913687706,0.9295915445138159,0.1463254913687706,0.9295915445138159,0.029191363847511947,0.02391827077355438,0.8193611952664209,True,measure_only_no_authority,lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.right.wrist.y,mp_body.right_wrist.y,1322,1.0,43.43313298225402,26.823404218719446,0.6175793081673153,0.7354941514347589,0.20485568791627884,0.794824169381411,0.20485568791627884,0.794824169381411,0.05083580367867263,0.04831635312450175,0.9504394467707042,True,measure_only_no_authority,lag_over_100ms
arms_measure_only,arm_conflict_measure_only,quest.right.wrist.z,mp_body.right_wrist.z,1322,1.0,67.38920631408692,66.44127801526338,0.9859335292597832,0.8841916758316858,0.17559058964252472,0.9160402695576314,0.17559058964252472,0.9160402695576314,0.05702866928483988,0.04719307028980314,0.827532377690402,True,measure_only_no_authority,lag_over_100ms
arms_measure_only,arm_conflict_raw_measure_only,quest.left.elbow.x,mp_world.left_elbow.x,1316,0.9954614220877458,18.686498451232925,0.16635597497224808,0.008902469095876653,0.7955477779041624,0.11704480648040771,0.8187153148107343,0.11704480648040771,0.8187153148107343,0.053335133048308336,0.05265252416469942,0.9872015153127931,True,measure_only_no_authority,lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.left.elbow.y,mp_world.left_elbow.y,1316,0.9954614220877458,33.27817182540895,0.34136495739221573,0.01025792399844431,-0.6498662451875604,nan,nan,0.11704480648040771,-0.6606078887219555,0.053325875007070866,0.050000780274162784,0.9376457539146393,True,measure_only_no_authority,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.left.elbow.z,mp_world.left_elbow.z,1316,0.9954614220877458,33.30194630622863,0.19418027251958847,0.005830898612771769,-0.6170464713933069,nan,nan,0.14630600810050964,-0.6412315897725018,0.06360028817780738,0.052860400419224,0.8311346054194303,True,measure_only_no_authority,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.left.wrist.x,mp_world.left_wrist.x,1316,0.9954614220877458,40.82813334465026,0.345155443996191,0.008453862954805328,0.8575973366289245,0.11704480648040771,0.8693439036605481,0.11704480648040771,0.8693439036605481,0.03426979669661943,0.03494046790742977,1.0195703294287854,True,measure_only_no_authority,lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.left.wrist.y,mp_world.left_wrist.y,1316,0.9954614220877458,45.87713265419006,0.7014623545110226,0.015290021715142139,-0.7492780892922875,nan,nan,0.05852240324020386,-0.7530925787928139,0.041900079731261974,0.05193745061767112,1.2395549352360822,True,measure_only_no_authority,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.left.wrist.z,mp_world.left_wrist.z,1316,0.9954614220877458,68.53595399856567,0.294790867716074,0.0043012586900336046,-0.7242955990502579,nan,nan,0.11704480648040771,-0.7343721991798261,0.05603588993784492,0.04674099727215128,0.8341260810526335,True,measure_only_no_authority,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.right.elbow.x,mp_world.right_elbow.x,1316,0.9954614220877458,20.893944549560565,0.20839408785104752,0.009973898770370308,0.930033547823168,0.17556720972061157,0.9542778268092601,0.17556720972061157,0.9542778268092601,0.04544612048056034,0.033603901240395966,0.7394228788961226,True,measure_only_no_authority,lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.elbow.y,mp_world.right_elbow.y,1316,0.9954614220877458,33.74774851799012,0.318747878074646,0.009445011654769476,-0.5274683587757558,nan,nan,0.17556720972061157,-0.5480006737539782,0.04972012503608961,0.04286700156441024,0.8621660048782059,True,measure_only_no_authority,low_correlation;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.elbow.z,mp_world.right_elbow.z,1316,0.9954614220877458,30.377458286285417,0.23624462820589542,0.007776971528673067,-0.7189367837755971,nan,nan,0.17556720972061157,-0.7545843705453636,0.06877182467951276,0.04256003071254345,0.6188585356122178,True,measure_only_no_authority,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.right.wrist.x,mp_world.right_wrist.x,1316,0.9954614220877458,43.04944133758546,0.4458886981010437,0.010357595458776573,0.9186449000517677,0.11704480648040771,0.9281963159838993,0.11704480648040771,0.9281963159838993,0.029191363847511947,0.02325927367646997,0.7967861247583475,True,measure_only_no_authority,lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.wrist.y,mp_world.right_wrist.y,1316,0.9954614220877458,43.43313298225402,0.6642004874302074,0.015292483913181845,-0.7349034869614021,nan,nan,0.11704480648040771,-0.7456107206932411,0.05083580367867263,0.047048056020115255,0.9254905522395338,True,measure_only_no_authority,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,arm_conflict_raw_measure_only,quest.right.wrist.z,mp_world.right_wrist.z,1316,0.9954614220877458,67.38920631408692,0.27374761551618576,0.004062187856024089,-0.7661494124785794,nan,nan,0.17556720972061157,-0.7894267091206959,0.05702866928483988,0.04729745423623013,0.8293627543717449,True,measure_only_no_authority,low_correlation;amplitude_mismatch;possible_sign_or_axis_inversion
arms_measure_only,quest_arm_output_measure,quest.left.wrist.x,manny.hand_l.loc.x,1322,1.0,40.82813334465026,42.80051427401631,1.0483093584689804,0.9902293294038552,0.02926509827375412,0.9930976270423351,0.02926509827375412,0.9930976270423351,0.03426979669661943,0.031114848784909176,0.9079379449011592,True,measure_only_no_authority,
arms_measure_only,quest_arm_output_measure,quest.left.wrist.y,manny.hand_l.loc.y,1322,1.0,45.87713265419006,45.89645021416538,1.0004210716506832,0.966456122321987,-0.02926509827375412,0.9920826174026193,-0.02926509827375412,0.9920826174026193,0.041900079731261974,0.04539982324267361,1.0835259391833674,True,measure_only_no_authority,
arms_measure_only,quest_arm_output_measure,quest.left.wrist.z,manny.hand_l.loc.z,1322,1.0,68.53595399856567,62.3211492971503,0.9093205195400732,0.9924371812511938,-0.02926509827375412,0.9925524956609868,-0.02926509827375412,0.9925524956609868,0.05603588993784492,0.05661642832686774,1.0103601172332008,True,measure_only_no_authority,
arms_measure_only,quest_arm_output_measure,quest.right.wrist.x,manny.hand_r.loc.x,1322,1.0,43.04944133758546,45.336918787650866,1.053136054243479,0.993104431087042,0.02926509827375412,0.9959856650570796,0.02926509827375412,0.9959856650570796,0.029191363847511947,0.023837804654036412,0.8166046909818558,True,measure_only_no_authority,
arms_measure_only,quest_arm_output_measure,quest.right.wrist.y,manny.hand_r.loc.y,1322,1.0,43.43313298225402,45.17978620597072,1.040214764715001,0.9639795796133388,-0.02926509827375412,0.9932944126519061,-0.02926509827375412,0.9932944126519061,0.05083580367867263,0.04661429638529324,0.9169579904733471,True,measure_only_no_authority,
arms_measure_only,quest_arm_output_measure,quest.right.wrist.z,manny.hand_r.loc.z,1322,1.0,67.38920631408692,60.52276797124546,0.8981077427913539,0.9919561881078863,-0.02926509827375412,0.9922251790664558,-0.02926509827375412,0.9922251790664558,0.05702866928483988,0.05634712608531095,0.9880491126993541,True,measure_only_no_authority,
