group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,mediapipe_advance_ms,flags
arms_measure_only,arm_conflict_raw_measure_only,quest.left.elbow.x,mp_world.left_elbow.x,1323,0.9962349397590361,10.434462928771973,0.3427936300635338,0.03285206266997366,0.22191345759097894,-0.14211760461330414,0.24234917508532589,-0.14211760461330414,0.24234917508532589,0.05016742301304307,0.010023114573484392,0.19979329157247072,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.left.elbow.y,mp_world.left_elbow.y,1323,0.9962349397590361,7.625034475326544,0.3377026852918789,0.04428867651479264,0.2571957992071579,-0.7461174242198467,0.36257947415448194,-0.7461174242198467,0.36257947415448194,0.09154896851896537,0.013450560972331554,0.14692203735255766,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.left.elbow.z,mp_world.left_elbow.z,1323,0.9962349397590361,5.092231750488281,0.14633441790938373,0.028736794607855796,-0.017460094498187764,-0.6395292207598686,0.09749474318242879,0.7461174242198467,-0.11940459438677122,0.10289774949097238,0.07245608985773509,0.7041562154291037,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.left.wrist.x,mp_world.left_wrist.x,1323,0.9962349397590361,10.127764320373533,0.3793086804449558,0.03745236050585408,0.5047170563680797,0.2131764069199562,0.5138120729466716,0.2131764069199562,0.5138120729466716,0.04413850196915559,0.011988941422889997,0.27162094063065356,True,measure_only_no_authority,0.0,lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.left.wrist.y,mp_world.left_wrist.y,1323,0.9962349397590361,18.32178521156311,0.13558963835239404,0.0074004599872081085,-0.4243069825000484,nan,nan,-0.6039998196065426,-0.4642561946338603,0.032110109710398196,0.03806351959178781,1.1854060897045682,True,measure_only_no_authority,0.0,low_correlation;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.left.wrist.z,mp_world.left_wrist.z,1323,0.9962349397590361,19.06513786315918,0.1862216316163538,0.009767651980959555,-0.5781134177207168,nan,nan,-0.035529401153326035,-0.5985608488929898,0.050625998999762216,0.07241249738444794,1.430342093294555,True,measure_only_no_authority,0.0,low_correlation;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.elbow.x,mp_world.right_elbow.x,1323,0.9962349397590361,14.131844234466552,0.7776756256818771,0.05503001680312766,0.6159943369711112,-0.07105880230665207,0.6264629245136346,-0.07105880230665207,0.6264629245136346,0.03941270587440132,0.005596725441828344,0.14200307534488352,True,measure_only_no_authority,0.0,amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.elbow.y,mp_world.right_elbow.y,1323,0.9962349397590361,8.80374307632448,0.22262768559157844,0.02528784446132706,0.00436368176831671,0.035529401153326035,0.00456429183520847,0.7461174242198467,-0.0980017978488156,0.08442260457378163,0.021494728475362098,0.2546086866649163,True,measure_only_no_authority,0.0,low_correlation;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.elbow.z,mp_world.right_elbow.z,1323,0.9962349397590361,10.914325904846194,0.22873206660151457,0.020957049349236735,-0.026766044084755188,0.5329410172998905,0.0585025994083026,-0.7461174242198467,-0.15049708557824687,0.047146279048516274,0.042655388250911676,0.9047455941754553,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.wrist.x,mp_world.right_wrist.x,1323,0.9962349397590361,16.606061077117918,0.9722316563129424,0.05854679516099185,0.35118962841998436,-0.7461174242198467,0.37126804435246713,-0.7461174242198467,0.37126804435246713,0.04428486924651199,0.006999004772170641,0.1580450589841564,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.wrist.y,mp_world.right_wrist.y,1323,0.9962349397590361,11.734447574615473,0.37485873103141765,0.03194515367236633,0.3690770232655849,0.035529401153326035,0.36937151232386073,0.035529401153326035,0.36937151232386073,0.05779777773427064,0.015726518380039856,0.27209555447518474,True,measure_only_no_authority,0.0,low_correlation;amplitude_mismatch
arms_measure_only,arm_conflict_raw_measure_only,quest.right.wrist.z,mp_world.right_wrist.z,1323,0.9962349397590361,10.744786071777341,0.39284667223691905,0.036561609473899616,-0.057717832743202316,0.5329410172998905,0.006419148934474905,-0.7461174242198467,-0.21473172569104212,0.06961916740879306,0.028845886394443396,0.414338284528236,True,measure_only_no_authority,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
arms_measure_only,quest_arm_output_measure,quest.left.wrist.x,manny.hand_l.loc.x,1328,1.0,10.127764320373533,24.155950804957808,2.3851217347509213,-0.564322670295719,nan,nan,0.7488705329596996,-0.6244410651993862,0.04413850196915559,0.024882183638429464,0.563729681080191,True,measure_only_no_authority,0.0,low_correlation;possible_sign_or_axis_inversion
arms_measure_only,quest_arm_output_measure,quest.left.wrist.y,manny.hand_l.loc.y,1328,1.0,18.32178521156311,22.650280702576,1.2362485664487062,0.557843098736466,-0.21396300941705704,0.7486669244578739,-0.21396300941705704,0.7486669244578739,0.032110109710398196,0.037098671015346925,1.1553579651374808,True,measure_only_no_authority,0.0,lag_over_100ms
arms_measure_only,quest_arm_output_measure,quest.left.wrist.z,manny.hand_l.loc.z,1328,1.0,19.06513786315918,12.588389714043132,0.6602831725842647,0.8641189186742382,-0.035660501569509506,0.898639241318137,-0.035660501569509506,0.898639241318137,0.050625998999762216,0.041554237486809906,0.8208082469050157,True,measure_only_no_authority,0.0,
arms_measure_only,quest_arm_output_measure,quest.right.wrist.x,manny.hand_r.loc.x,1328,1.0,16.606061077117918,11.894363391249591,0.716266388279112,0.2794142564605149,0.035660501569509506,0.3094359345034747,0.035660501569509506,0.3094359345034747,0.04428486924651199,0.057468409367359086,1.2976985219818724,True,measure_only_no_authority,0.0,low_correlation
arms_measure_only,quest_arm_output_measure,quest.right.wrist.y,manny.hand_r.loc.y,1328,1.0,11.734447574615473,27.37382438877907,2.332774867731776,0.006291778632956879,0.0,0.006291778632956932,0.7488705329596996,-0.17196053837195843,0.05779777773427064,0.02526566324905744,0.43713900844454795,True,measure_only_no_authority,0.0,low_correlation
arms_measure_only,quest_arm_output_measure,quest.right.wrist.z,manny.hand_r.loc.z,1328,1.0,10.744786071777341,22.397571332167942,2.084506027625645,0.05801184216881137,-0.035660501569509506,0.10552232137005521,-0.035660501569509506,0.10552232137005521,0.06961916740879306,0.017147168579987854,0.2462995352889286,True,measure_only_no_authority,0.0,low_correlation
