signal,group,source_kind,sample_count,valid_fraction,p05,p50,p95,range_p95_p05,step95_standardized
mp_norm.mouth_left.y,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.3393352836370468,0.35558849573135376,0.43508215546607965,0.09574687182903285,0.01072921771032311
mp_norm.mouth_left.z,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,-0.6337957501411438,-0.46047303080558777,-0.1320853129029277,0.5017104372382161,0.03233017778034197
mp_norm.mouth_right.x,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.4218349725008011,0.5055098533630371,0.5388651728630064,0.1170302003622053,0.030090438930694657
mp_norm.mouth_right.y,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.33522572815418245,0.3574228584766388,0.4379847466945648,0.10275901854038233,0.010290527565018841
mp_norm.mouth_right.z,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,-0.6065027892589568,-0.45304402709007263,-0.11956260949373251,0.4869401797652243,0.03276607770175722
mp_norm.nose.x,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.41198958158493043,0.514212429523468,0.5501660704612732,0.13817648887634276,0.028331797957809646
mp_norm.nose.y,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.33346039354801177,0.34842079877853394,0.4330460667610168,0.09958567321300504,0.011153747132273455
mp_norm.nose.z,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,-0.685334038734436,-0.5293856859207153,-0.15060820579528808,0.5347258329391479,0.0311543872093609
mp_norm.right_ankle.x,lower_body_measure_only,mp_norm,1323,0.9962349397590361,0.19196454882621766,0.5543280243873596,0.5661679565906524,0.3742034077644348,0.003172337535576495
mp_norm.right_ankle.y,lower_body_measure_only,mp_norm,1323,0.9962349397590361,0.3125631928443909,0.7109299302101135,0.7160523056983947,0.40348911285400385,0.0012633349602565918
mp_norm.right_ankle.z,lower_body_measure_only,mp_norm,1323,0.9962349397590361,-0.06726159527897833,0.3172128200531006,0.3959340542554855,0.46319564953446385,0.02908229553521198
mp_norm.right_ankle_lift_from_hips,lower_body_measure_only,mp_norm,1323,0.9962349397590361,-0.06721836049109697,0.31719161849468946,0.3958597486838698,0.4630781091749668,0.029086400040981262
mp_norm.right_ear.x,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.4150041311979294,0.48861509561538696,0.5318487584590912,0.1168446272611618,0.03256251742215224
mp_norm.right_ear.y,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.3301067978143692,0.3447650372982025,0.4172952115535736,0.08718841373920438,0.013840352559103524
mp_norm.right_ear.z,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,-0.47225960791110994,-0.3126416802406311,-0.07606833279132849,0.39619127511978147,0.041658561490104405
mp_norm.right_elbow.x,arms_measure_only,mp_norm,1323,0.9962349397590361,0.41209118366241454,0.4380924701690674,0.5148561835289001,0.10276499986648552,0.012294106886182373
mp_norm.right_elbow.y,arms_measure_only,mp_norm,1323,0.9962349397590361,0.3155341804027557,0.4737640619277954,0.5221698820590973,0.2066357016563416,0.006801125473560156
mp_norm.right_elbow.z,arms_measure_only,mp_norm,1323,0.9962349397590361,-0.18586998283863068,-0.1119740679860115,0.08015104085206984,0.2660210236907005,0.05443142959511027
mp_norm.right_eye.x,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.40458020865917205,0.4990343749523163,0.5352237164974211,0.13064350783824902,0.03157237908968811
mp_norm.right_eye.y,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.32897279858589173,0.34093907475471497,0.42467982172966,0.09570702314376828,0.012563154801147506
mp_norm.right_eye.z,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,-0.6637432217597962,-0.5033106803894043,-0.1451334267854691,0.5186097949743271,0.03207379169653903
mp_norm.right_eye_inner.x,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.4055879980325699,0.5049586892127991,0.5414272248744962,0.13583922684192634,0.030653236443349056
mp_norm.right_eye_inner.y,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.32912751138210294,0.34041476249694824,0.42467827200889585,0.09555076062679291,0.012405979567715377
mp_norm.right_eye_inner.z,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,-0.6636722266674042,-0.5032681822776794,-0.1449861139059067,0.5186861127614975,0.032073265412288346
mp_norm.right_eye_outer.x,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.403516685962677,0.4936147630214691,0.5329594314098358,0.12944274544715884,0.03205318680774214
mp_norm.right_eye_outer.y,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,0.3285741001367569,0.3413895070552826,0.4243500500917434,0.0957759499549865,0.013173227085127482
mp_norm.right_eye_outer.z,head_mp_diagnostic,mp_norm,1323,0.9962349397590361,-0.6637186586856842,-0.5033048987388611,-0.145140053331852,0.5185786053538323,0.03208116022112801
mp_norm.right_foot_index.x,arms_measure_only,mp_norm,1323,0.9962349397590361,0.14352075159549713,0.5257518887519836,0.5311570405960083,0.38763628900051117,0.004054502775850211
mp_norm.right_foot_index.y,arms_measure_only,mp_norm,1323,0.9962349397590361,0.2991138994693756,0.7456983327865601,0.7506690979003906,0.451555198431015,0.00133259165971463
mp_norm.right_foot_index.z,arms_measure_only,mp_norm,1323,0.9962349397590361,-0.1564544677734375,0.13871769607067108,0.2349630087614058,0.39141747653484327,0.06004580809877512
mp_norm.right_forearm_length,arms_measure_only,mp_norm,1323,0.9962349397590361,0.0799681397803544,0.18450812136602573,0.23541947116260198,0.1554513313822476,0.06147857483799428
mp_norm.right_heel.x,lower_body_measure_only,mp_norm,1323,0.9962349397590361,0.18198426365852355,0.5638721585273743,0.5777173697948456,0.395733106136322,0.0028969602336680208
mp_norm.right_heel.y,lower_body_measure_only,mp_norm,1323,0.9962349397590361,0.32434652745723724,0.7208735346794128,0.7248326361179351,0.4004861086606979,0.0014933155760397888
mp_norm.right_heel.z,lower_body_measure_only,mp_norm,1323,0.9962349397590361,-0.06492000222206114,0.3319335877895355,0.41522231400012966,0.4801423162221908,0.029793641602559057
mp_norm.right_hip.x,pelvis,mp_norm,1323,0.9962349397590361,0.3671826034784317,0.5078635215759277,0.528799432516098,0.16161682903766628,0.004425525177583384
mp_norm.right_hip.y,pelvis,mp_norm,1323,0.9962349397590361,0.3566004574298859,0.5323560833930969,0.5454360663890838,0.18883560895919793,0.002661620439376372
mp_norm.right_hip.z,pelvis,mp_norm,1323,0.9962349397590361,0.013803161028772593,0.02613179013133049,0.06967096626758573,0.05586780523881314,0.03209903594891501
mp_norm.right_index.x,arms_measure_only,mp_norm,1323,0.9962349397590361,0.3090361297130585,0.4544534385204315,0.539014983177185,0.2299788534641265,0.009061438834477931
mp_norm.right_index.y,arms_measure_only,mp_norm,1323,0.9962349397590361,0.3303860634565353,0.5502148270606995,0.5970796406269073,0.266693577170372,0.004822114012217234
mp_norm.right_index.z,arms_measure_only,mp_norm,1323,0.9962349397590361,-0.48332245647907257,-0.3958190679550171,0.1877211824059476,0.6710436388850202,0.031427134430819445
mp_norm.right_knee.x,lower_body_measure_only,mp_norm,1323,0.9962349397590361,0.29906120598316194,0.5231242179870605,0.5435609579086302,0.2444997519254683,0.00462260695793156
mp_norm.right_knee.y,lower_body_measure_only,mp_norm,1323,0.9962349397590361,0.29244871735572814,0.6243796944618225,0.6277921855449676,0.3353434681892395,0.0018552362585022146
mp_norm.right_knee.z,lower_body_measure_only,mp_norm,1323,0.9962349397590361,-0.09433897510170937,0.05400588735938072,0.09379196390509605,0.18813093900680541,0.039016313303995756
mp_norm.right_knee_lift_from_hips,lower_body_measure_only,mp_norm,1323,0.9962349397590361,-0.0942750034853816,0.05393369868397713,0.0937092563137412,0.1879842597991228,0.039025887644298846
mp_norm.right_pinky.x,arms_measure_only,mp_norm,1323,0.9962349397590361,0.3135388523340225,0.43849852681159973,0.5379026353359222,0.22436378300189969,0.010289790287823867
mp_norm.right_pinky.y,arms_measure_only,mp_norm,1323,0.9962349397590361,0.3293146938085556,0.5518166422843933,0.5992138624191284,0.26989916861057284,0.005399382550071492
mp_norm.right_pinky.z,arms_measure_only,mp_norm,1323,0.9962349397590361,-0.41579907238483427,-0.3431248664855957,0.19702597260475052,0.6128250449895848,0.033068441976036415
mp_norm.right_shoulder.x,shoulders,mp_norm,1323,0.9962349397590361,0.43134655356407164,0.45351332426071167,0.49966877698898315,0.06832222342491151,0.026533650795672575
mp_norm.right_shoulder.y,shoulders,mp_norm,1323,0.9962349397590361,0.3309304237365723,0.40345537662506104,0.45593844056129457,0.1250080168247223,0.008441490945562312
mp_norm.right_shoulder.z,shoulders,mp_norm,1323,0.9962349397590361,-0.260079550743103,-0.1729213148355484,0.01921864040195941,0.27929819114506244,0.048378114873872995
mp_norm.right_shoulder_lift_from_hips,shoulders,mp_norm,1323,0.9962349397590361,-0.26010846821591255,-0.17299818247556686,0.019154321029782283,0.2792627892456948,0.04839317800761892
mp_norm.right_thumb.x,arms_measure_only,mp_norm,1323,0.9962349397590361,0.3205819010734558,0.457410603761673,0.5359272003173827,0.21534529924392692,0.00939705658725833
mp_norm.right_thumb.y,arms_measure_only,mp_norm,1323,0.9962349397590361,0.3294327437877655,0.5442463159561157,0.5938337802886963,0.2644010365009308,0.00490692074617419
mp_norm.right_thumb.z,arms_measure_only,mp_norm,1323,0.9962349397590361,-0.4078659534454346,-0.3110237419605255,0.1845727741718281,0.5924387276172627,0.032688017397301566
mp_norm.right_upper_arm_length,arms_measure_only,mp_norm,1323,0.9962349397590361,0.07521671167854557,0.0948074573911477,0.1183821081824089,0.04316539650386332,0.14727449993000302
mp_norm.right_wrist.x,arms_measure_only,mp_norm,1323,0.9962349397590361,0.34653356671333313,0.44132357835769653,0.5342089593410492,0.18767539262771604,0.01040470063778663
mp_norm.right_wrist.y,arms_measure_only,mp_norm,1323,0.9962349397590361,0.32511801421642306,0.5312806367874146,0.5859644412994385,0.2608464270830154,0.005646603459285288
mp_norm.right_wrist.z,arms_measure_only,mp_norm,1323,0.9962349397590361,-0.37350333034992217,-0.2858203053474426,0.18274941295385264,0.5562527433037748,0.034938032517492564
mp_norm.shoulder_lift_l_minus_r,shoulders,mp_norm,1323,0.9962349397590361,-0.18812226355075837,-0.04964219033718109,-0.011906698346138035,0.17621556520462034,0.03101557478595817
mp_norm.shoulder_mid.x,torso,mp_norm,1323,0.9962349397590361,0.49768056720495224,0.5337498635053635,0.5494331568479537,0.051752589643001445,0.03623737873617131
mp_norm.shoulder_mid.y,torso,mp_norm,1323,0.9962349397590361,0.3479511752724648,0.39709503948688507,0.434688463807106,0.08673728853464124,0.008841231169881381
mp_norm.shoulder_mid.z,torso,mp_norm,1323,0.9962349397590361,-0.34905492812395095,-0.19475114345550537,-0.0407907009823249,0.30826422714162605,0.042143936162656846
mp_norm.shoulder_width,shoulders,mp_norm,1323,0.9962349397590361,0.09055578836042956,0.17009792492492878,0.22593067204769982,0.13537488368727024,0.030162795040537527
mp_norm.torso_forward_proxy,torso,mp_norm,1323,0.9962349397590361,-0.1382058799266815,-0.1332925260066986,-0.021615852415561677,0.11659002751111984,0.005940825341625257
mp_norm.torso_height,torso,mp_norm,1323,0.9962349397590361,-0.3490636167116463,-0.19474896043539047,-0.04072771489154562,0.3083359018201007,0.04212866068203848
mp_norm.torso_side_proxy,torso,mp_norm,1323,0.9962349397590361,-0.0695444256067276,-0.019542723894119263,0.13547282367944719,0.2050172492861748,0.008811445501295286
mp_norm.wrist_mid.x,arms_measure_only,mp_norm,1323,0.9962349397590361,0.506011575460434,0.5491990447044373,0.5561603859066964,0.050148810446262404,0.0274546516303698
mp_norm.wrist_mid.y,arms_measure_only,mp_norm,1323,0.9962349397590361,0.3400798350572586,0.5247591733932495,0.5450873970985413,0.20500756204128268,0.005632983575034094
mp_norm.wrist_mid.z,arms_measure_only,mp_norm,1323,0.9962349397590361,-0.44292947873473165,-0.3240295350551605,0.025799294561147632,0.4687287732958793,0.0364160028965036
mp_world.ankle_mid.x,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.389443289488554,0.1016925880103372,0.12699427548795936,0.5164375649765134,0.01947505272450527
mp_world.ankle_mid.y,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.12028216874459759,0.7190365195274353,0.7268973261117935,0.8471794948563911,0.021258880547917226
mp_world.ankle_mid.z,lower_body_measure_only,mp_world,1323,0.9962349397590361,-0.07193159870803356,0.14581792801618576,0.1740818932652473,0.24601349197328087,0.02890345973100799
mp_world.ear_mid.x,head_mp_diagnostic,mp_world,1323,0.9962349397590361,-0.26849794909358027,-0.0667405896820128,0.5045412883162498,0.77303923740983,0.009743526771870141
